Item Code,Description,Item Group
A11713,DISCONTINUE,OTC
A11714,DISCONTINUE,OTC
A11715,SKIN HYGIENE 3 PLY FACE MASK 50'S,MEDICAL DEVICE & SUPPLY
A11716,DISCONTINUED,OTC
A11717,MEDICOS FACE MASK 50'S,MEDICAL DEVICE & SUPPLY
A11718,DISCONTINUE,OTC
A11719,DISCONTINUE,OTC
A11720,DISCONTINUE,OTC
A11721,IZZLY BUBUR KASAR BERAS PERANG SEGERA 150G,OTC
A11722,DISCONTINUE,OTC
A11723,IZZLY BUBUR KASAR BERAS PUTIH SEGERA 150G,BABY & MOM
A11724,IZZLY BAWANG PUTIH 100G,OTC
A11742,DISCONTINUE,OTC
A11743,CERADAN BODY WASH 280ML,OTC
A11744,DISCONTINUE,OTC
A11746,CHAMPS C 100MG (ORANGE) 100'S,OTC
A11747,DISCONTINUED,OTC
A11748,ACTAL STRIP 20'S,OTC
A11749,*ACTAL TAB 10'S,OTC
A11750,TRIO GLOVE LATEX POWDER FREE (S) 100'S,OTC
A11751,LATEX GLOVE POWDER FREE (M) 100'S,OTC
A11726,BARIKEL + 75 ORANGE 300ML,BABY & MOM
A11740,*SANDOZ ACETYLCYSTEINE 600MG STRIP 2'S,OTC
A11753,HOVID PARACETAMOL (PARMOL) SUSP 250MG/5ML 120ML,OTC
A11754,OPTICARE 120ML,OTC
A11728,~SAMPUL RAYA,CONSIGNMENT DR HANISAH
A12077,DISCONTINUE,OTC
A12078,DISCONTINUE,OTC
A12079,DISCONTINUE,OTC
A12080,DISCONTINUE,OTC
A12081,DISCONTINUE,OTC
A12082,DISCONTINUE,OTC
A12083,DISCONTINUE,OTC
A12084,DISCONTINUE,OTC
A12085,DISCONTINUED,OTC
A12086,AGNESIA HYGIENE CARE POWDER 300G,PERSONAL CARE
A12087,DISCONTINUE,OTC
A12088,EUKY BEAR EUCALYPTUS SPRAY 100G,MEDICAL DEVICE & SUPPLY
B10296,*APROVEL 150MG STRIP 14'S,POISON
B10298,FUCIDIN H CREAM 5G,POISON
A12044,DISCONTINUED,OTC
A12073,DISCONTINUE,OTC
A12074,~XANTHAN GUM 100G,CONSIGNMENT DR HANISAH
A12075,DISCONTINUE,OTC
A12076,DISCONTINUE,OTC
A12090,~BROOCH PALESTINE,CONSIGNMENT DR HANISAH
A12091,PANCAKE PURPLE CARROT 210G,BABY & MOM
A12092,BIO OIL DRY SKIN GEL 100ML,OTC
A12093,PAN MATE COTTON WOOL 35G,OTC
A12094,OMNIPLAST 1.25CM*5M,OTC
A12095,OMNIPLAST 2.5CM*5M,OTC
A12096,BUNNIES COTTON WOOL 50G,OTC
A12097,PANCAKE SWEET POTATO 210G ,BABY & MOM
A12098,KLEENSO DISINFECTANT LIQUID 4L,OTC
A12102,DISCONTINUE,OTC
A12103,DISCONTINUE,OTC
A12105,DISCONTINUED,PERSONAL CARE
A12110,DISCONTINUED,OTC
A12111,CHAMPS MVT PLUS OMEGA-3 (FRUITY) 60'S,OTC
A12125,~HS CASTOR OIL 473ML,CONSIGNMENT DR HANISAH
A12126,EDGE FINGER SCALP BRUSH,PERSONAL CARE
A12127,DISCONTINUE,OTC
A12128,DISCONTINUE,OTC
A12129,DISCONTINUE,OTC
A12130,DISCONTINUE,OTC
A12138,FC BIO SANITARY PADS (BLUE) 10S,OTC
A12139,FC PANTYLINER (GREEN) 20S,PERSONAL CARE
A12140,DISCONTINUE,OTC
A12141,YONKER PAEDS FINGERTIP PULSE OXIMETER K1,OTC
