Item Code,Description,Item Group
A14428,DISCONTINUED,CONSIGNMENT
A14429,~AVO MOIST 50G,CONSIGNMENT DR HANISAH
PI0030,HS FORA GLUCOSE TEST,SERVICE
PI0031,HS FORA TOTAL CHOLESTEROL TEST,SERVICE
PI0032,HS FORA URIC ACID TEST,SERVICE
PI0033,HS GLUCONAVII GLUCOSE TEST,SERVICE
PI0034,HS EASYSURE GLUCOSE TEST,SERVICE
PI0035,HS EASYSURE URIC ACID TEST,SERVICE
A14385,~FACE CLEANSER 500ML,CONSIGNMENT DR HANISAH
A14386,~TAMANU MOISTURISER 30GM,CONSIGNMENT DR HANISAH
A14387,~EVERLASTING MOISTURISER,CONSIGNMENT DR HANISAH
A14388,~FACE SERUM,CONSIGNMENT DR HANISAH
B10672,TELFAST-D 60/120MG 10'S,POISON
A14382,DISCONTINUE,MEDICAL DEVICE & SUPPLY
A14383,DISCONTINUE,MEDICAL DEVICE & SUPPLY
PI0028,"HS FORA BLOOD GLUCOSE, HB , HCT TEST",SERVICE
B10669,HYOSUN SYRUP 120ML,POISON
A14355,~LIP BUTTER,CONSIGNMENT DR HANISAH
A14391,~FACE MIST / TONER 50 ML,CONSIGNMENT DR HANISAH
B10673,APO-ATENIDONE 100/25MG 30'S ,POISON
B10674,TELSWIFT 80MG 7'S,POISON
A14393,ACTIVMAX COFFEE 50G RTM (ready to mix),SUPPLEMENT NOVA
A14392,~WELLNESS MAXTROL 1S,CONSIGNMENT
A14394,RICE STICK MULTIGRAIN 50G,BABY & MOM
A14395,RICE STICK CORN 50G,BABY & MOM
A14397,RICE STICK BLACK RICE 50G,BABY & MOM
A14399,BABY FIRST FEED RICE CEREAL AVOCADO 200G,BABY & MOM
A14410,~AVO MOIST 30G,CONSIGNMENT DR HANISAH
A14323,LOLIPOP TEST,OTC
A14324,VITAHERB GINKGOLD 120MG 10'S,OTC
A14308,SOL-M HYPODERMIC NEEDLE 30G X1/2 1'S YELLOW,WOUND & SURGICAL
A14334,PEEL FRESH PINK GUAVA 300ML,FOOD & BEVERAGES
A14335,BAE HANNA VITAMIN C,CONSIGNMENT
A14338,VITAHEALTH VIT C 500MG,OTC
A14339,"~ ""SPECIAL ORDER""",CONSIGNMENT DR HANISAH
A14340,VEINOSMIN TABLET 10'S,OTC
A14341,BAROSCON DOUBLE ACTION SACHET 10ML,OTC
A14326,RENTAL PORTABLE PHLEGM SUCTION PUMP,REHAB & SUPPORT
A14327,HIDRASEC INFANTS 10MG 1S,CONSIGNMENT
A14328,SANISCRUB SANITIZER 500ML,CONSIGNMENT
A14329,SULFOLITE SOAP 75G,CONSIGNMENT
A14330,CANDIGUARD POWDER 30G,CONSIGNMENT
A14315,CYSTONE 25'S,OTC
A14316,DISCONTINUED,SUPPLEMENT
B10663,PRELICA 150MG 10S,POISON
B10664,XELODA TAB FC 500MG 120s ,CONSIGNMENT
A14318,DISCONTINUED,SUPPLEMENT
A14317,LYHER COVID TEST KIT 2 IN 1,CONSIGNMENT
A14319,FONT ACTIV COMPLETE 800G,CONSIGNMENT
A14320,FONT ACTIV DIABEST 800G,CONSIGNMENT
A14321,HOMECARE NOFLUX LOZENGES 10S,OTC
A14378,UNDERPAD 45CM*60CM  20S,REHAB & SUPPORT
A14379,~AVO MOIST 15G,CONSIGNMENT DR HANISAH
A14380,OPTIMUM BLOOD GLUCOSE TEST STRIP 1S,MEDICAL DEVICE & SUPPLY
A14357,DISCONTINUE,OTC
A14358,~ MENU SI KECIL VOL 2,CONSIGNMENT DR HANISAH
A14359,AVEENO SKIN RELIEF BODY LOTION 1000ML,OTC
A14360,~ECZEMA SUPPLEMENT GUAVA,OTC
A14361,~ECZEMA SUPPLEMENT LEMON LIME,OTC
000022,NATEEN ADULT WIPES WITH ALOEVERA,PERSONAL CARE
A14371,DISCONTINUED,CONSIGNMENT
A14372,DISCONTINUE,OTC
A14373,DISCOUNTINUE,CONSIGNMENT
A14374,GKB ANTRODIA 450MG 60'S,OTC
A14375,~FOAM WASH,CONSIGNMENT DR HANISAH
A14376,RED YEAST RICE 30'S,OTC
A14377,~TRANSPARENT TRAVEL POUCH,CONSIGNMENT DR HANISAH
PI0025,TRAVEL KIT 1,OTC
A14347,NOVA ARGININE 750MG TAB 10S - A1,SUPPLEMENT NOVA
A14349,NOVA NEUROGEL DHA 250MG 10S - A1,SUPPLEMENT NOVA
A14343,NOVA FIBRE SMOOOTHIE CHIA SEED & SEKAM PSYLLIUM  275G,SUPPLEMENT NOVA
A14354,DISCOUNTINUE,OTC
A14363,HIMALAYA ANTI-WRINKLE CREAM 50ML,OTC
A14364,HIMALAYA INTENSIVE MOISTURIZING CREAM 50ML,OTC
A14365,DISCOUNTINUE,OTC
A14366,INSTA-C SPOT TREATMENT CREAM 10G,OTC
A14367,INSTA-C VIT C&HLA SERUM 25ML,OTC
A14368,INSTA DERMA REPAIR TRIAL SET,OTC
B10678,ZINNAT 250MG 10'S,POISON
B10679,METROGYL 200MG/5ML SUSPENSION 100ML,POISON
A14443,GRACE CARE ADJUSTABLE KNEE SUPPORT (FREE SIZE),REHAB & SUPPORT
A14449,~SEA SALT 250G ( CELTIC SALT),CONSIGNMENT DR HANISAH
A14450,APPETON WEIGHT GAIN 450G (CHOCOLATE),CONSIGNMENT
A14453,HEALTHY JOY HI-PROTEIN + FIBER MUESLI (500GM),SUPPLEMENT NOVA
A14454,SUSTINEX HIGH OLEIC SUNFLOWER OIL 1L,SUPPLEMENT NOVA
A14455,NOVA WELLNESS ESSENTIAL PACK (30DAYS),SUPPLEMENT NOVA
A14456,EVIN RUBBER TIPS FOR WALKING STICKS 2PCS,REHAB & SUPPORT
B10680,LOTEMAX 0.5% EYE DROP - 5ML,POISON
A14459,~ROOIBOSS SOAP,CONSIGNMENT DR HANISAH
B10682,EPILIM CHRONO 500MG 30S,POISON
B10683,DILANTIN 100MG 200'S,POISON
B10684,UNASYN TAB 375MG 10'S,POISON
B10685,GLUCOVANCE 500/5MG 20'S,POISON
B10686,ELIQUIS 5MG 10S,POISON
A14462,SENDO NOURISHING SHAMPOO 250ML,PERSONAL CARE
A14474,NOVA ZARTHRIMIN SR 500MG 30S,SUPPLEMENT NOVA
A14479,SENDO OIL REBALANCING SHAMPOO 250ML,PERSONAL CARE
A14467,VITAHERB HEPASHIELD CAPSULE 30S,SUPPLEMENT
A14468,~ECZEMA OIL 30ML,CONSIGNMENT DR HANISAH
A14466,LEYMED CLEANSING BAR 60G,PERSONAL CARE
A14471,NOVA CALMINI TABLET 10S,SUPPLEMENT NOVA
A14490,PUREEN PACIFIER HOLDER PAC-H1,BABY & MOM
A14491,JOHNSON'S BABY COTTONTOUCH OIL 50ML,BABY & MOM
A14492,APPETON WELLNESS 60+ DIABETIC VANILLA 900G,OTC
A14493,ORAL7 REHYDRATING MOUTHWASH 250ML,PERSONAL CARE
A14494,ORAL7 REHYDRATING MOUTHWASH 500ML,PERSONAL CARE
A14495,ORAL7 TOOTHPASTE 75ML/105G,CONSIGNMENT
B10688,NOVYNETTE TAB 21'S,POISON
A14483,NACOMI BAKUCHIOL 2% SERUM 30ML,OTC
A14485,NACOMI NIACINAMIDE 15% SERUM 30ML,OTC
A14486,NACOMI GLYCOLIC ACID 10% SERUM 30ML,OTC
A14487,NACOMI FACE NIACINAMIDE CLEANSING GEL 15ML,OTC
A14488,NESTLE NUTREN OPTIMUM VANILA 800G,OTC
A14534,ENSURE GOLD WHEAT 800G,SUPPLEMENT
B10708,HYTRIN 2MG 14'S,POISON
B10705,EXFORGE HCT 10/160/12.5MG 7'S ,POISON
A14536,13975 ALTERNA FREE 2PC TRANS.50MM 15'S,WOUND & SURGICAL
B10710,ASPIRA 5MG CHEW TAB 7'S,POISON
B10712,METOHEXAL 100MG 10'S,POISON
B10713,PHYSIOTENS 0.4MG 28'S TABLET,POISON
B10698,XARELTO 20MG 14S,POISON
B10700,COVERSYL PLUS 10/2.5MG 30'S,POISON
B10701,FORXIGA 10MG 14S,POISON
B10702,ENTRESTO 50MG 10S,POISON
B10704,CO-DIOVAN 160/12.5MG 14'S,POISON
A14528,SW/WIN AQUEOUS CREAM 100G,CONSIGNMENT
A14529,SHINE SOY MILK 700G,CONSIGNMENT
A14530,SHINE OAT MILK 700G,CONSIGNMENT
A14531,SUSTINEX OMEGA 3-6-9 VEGE OIL BLEND 110ML,SUPPLEMENT NOVA
B10699,YSP B-MYCIN CREAM 15G,POISON
B10690,ELIQUIS 2.5MG 10S,CONSIGNMENT
B10691,HOVID DIAMIDE 5MG/500MG 10S,POISON
A14504,DISCONTINUE,OTC
B10694,SUPIROCIN OINTMENT 15G,POISON
A14505,~VIRGIN COCONUT OIL 500ML,CONSIGNMENT DR HANISAH
A14506,NEILMED NETI POT 60 MIXTURE SACHETS,OTC
A14498,CONTOUR TS TEST STRIPS 25'S,MEDICAL DEVICE & SUPPLY
B10693,IMIGRAN FDT 50MG 2S,POISON
PI0046,HAJI KIT BASIC,CONSIGNMENT
A14499,DERMAL THERAPY LIP BALM 10G ( PAW PAW ),CONSIGNMENT
A14500,DERMAL THERAPY LIP BALM 10G ( MINT ) ,CONSIGNMENT
A14501,DERMAL THERAPY LIP BALM SPF 50+ 10G,CONSIGNMENT
A14509,~CIK BIBAH RTE NASI PUTIH BASMATHI (180GM),FOOD & BEVERAGES
A14510,~CIK BIBAH RTE BUBUR NASI AYAM (150GM),FOOD & BEVERAGES
A14511,~CIK BIBAH RTE KARI AYAM (150GM),FOOD & BEVERAGES
A14512,~CIK BIBAH RTE AYAM MASAK KURMA (150GM),FOOD & BEVERAGES
A14513,~CIK BIBAH RTE AYAM MASAK BLACKPEPPER (150GM),FOOD & BEVERAGES
A14514,~CIK BIBAH RTE SAMBAL MERAH BILIS (80GM),FOOD & BEVERAGES
A14515,~CIK BIBAH RTE SAMBAL HIJAU BILIS (80GM),FOOD & BEVERAGES
A14508,DISCONTINUE,OTC
B10696,CONCERTA 18MG 30S,POISON
A14523,DISCONTINUE,CONSIGNMENT
A14524,DISCONTINUE,CONSIGNMENT
A14522,LITTLE NUUR BEEF BULGOGI WITH RICE 100G,BABY & MOM
A14933,DIAPEX DISPOSABLE ABSORBENT UNDERPAD 60XM*90CM 10S,REHAB & SUPPORT
B10792,KLACID HP 14 TAB,POISON
B10789,BETMIGA 50MG TAB 30'S,POISON
A14929,DRYPERS DRYPANTS SIZE XXL 36'S,BABY & MOM
A14930,ESSENTIAL FORTE N 10S,SUPPLEMENT
A14926,SURYA ZELEB NMN 2G 1S,SUPPLEMENT
B10785,ALFOST ALFACALCIDOL CAPS 10S,POISON
A14921,TFF LP 200-A CAPUCCINO 1S,SUPPLEMENT
B10786,FINASTIR 5MG 30'S,POISON
B10787,SOLIQUA SOLOSTAR 100/50ML 1S,POISON
B10793,GALVUS MET 50/500MG 60S,POISON
A14934,HOSPITAL BED (DOUBLE CRANK),REHAB & SUPPORT
A14938,DISCONTINUE,FOOD & BEVERAGES
A14939,DISCONTINUE,FOOD & BEVERAGES
A14940,DISCONTINUE,FOOD & BEVERAGES
A14941,DUGRO SURE PLUS DUGRO COMPLETE MILK POWDER (ASLI) 600G ,BABY & MOM
B10794,RYBELSUS TABLET 7MG 30'S,POISON
B10795,LYRICA 75MG 14'S,POISON
B10796,AVEZOL 150MG 1S,POISON
A14923,~DOTERRA DEEP BLUE STICK 48G,CONSIGNMENT DR HANISAH
B10791,HOVID HORAMINE 4MG/5ML SYRUP 120ML,POISON
B10797,EFEXOR XR 150MG 28S,POISON
B10798,RABIROX 200MG 10S,POISON
B10801,ALLERGAN FLUOROMETHOLONE 0.1%,POISON
B10800,XALATAN EYEDROPS 2.5ML,POISON
A14944,INOSITOL 500MG 60S,SUPPLEMENT
A14946,MAGNEZY 1S,SUPPLEMENT
A14947,GKB HYEMOR 1S,SUPPLEMENT
A14957,GIRLPAL ROSE EXTRACT BRIGHTENING CLEANSER 100G,PERSONAL CARE
A149671,~YUM EARTH ORGANIC POPS BLUEBERRY & STRAWBERRY 87G,CONSIGNMENT DR HANISAH
A14965,GIRLPAL ALOE VERA SOOTHING GEL 98% (ROUND) 300G,PERSONAL CARE
A14966,GIRLPAL ALOE VERA SOOTHING GEL 99% 260G,PERSONAL CARE
B10804,AXCEL METRONIDAZOLE 400MG 10S,POISON
B10805,HOVID ERETAF ORODISPERSIBLE FILMS 20MG 4S,POISON
B10806,HOVID ERECOR ORODISPERSIBLE FILMS 50MG 4S,POISON
A14972,~LIFETECH BLOOD GLUCOSE MONITOR TD-4183,MEDICAL DEVICE & SUPPLY
A14973,~LIFETECH SAFETY LANCET 25S,MEDICAL DEVICE & SUPPLY
A14974,~LIFETECH BLOOD GLUCOSE STRIP 25S,MEDICAL DEVICE & SUPPLY
A14994,~JUUNO BEDTIME VAPOUR PATCH (JOLLIE) 12S,OTC
A14990,~JUUNO MOSQUITO REPELLENT PATCH (RHINO) 36S,OTC
B10809,VYTAN 160MG 10S,POISON
A14987,11021 SENSURA CLICK OSTOMY BASEPLATE ( TAPAK ) 5S,WOUND & SURGICAL
A14988,~JUUNO STEAM EYE MASK (UNICORN) 6S,OTC
A14996,~JUUNO FEVER COOLING PATCH (LEO) 6S,OTC
A15002,~JUUNO KF94 KIDS FACE MASK (RAFRAF ) 10S,MEDICAL DEVICE & SUPPLY
A15000,~JUUNO KF94 KIDS FACE MASK (MAGICIAN) 10S,MEDICAL DEVICE & SUPPLY
B10808,AKURIT-2 TAB 90S,POISON
B10811,DYNA DYSOLVON SYRUP 60ML,POISON
B10812,ALCON MAXITROL EYE OINTMENT 3.5G,POISON
B10813,DUOLIN RESPULES 2.5ML 5S,POISON
A15031,10366 SENSURA 2P BAG OPQ OPEN 60 10S,REHAB & SUPPORT
B10822,HOVID DIABETMIN XR 750MG 10'S ,POISON
B10817,APO-LEVOCARB 250/25MG TAB 100S,POISON
B10818,CLOPIVID 75MG 10S,POISON
A15024,ABBOTT NEPRO HP COMPLETE NUTRITION 220ML 1S,FOOD & BEVERAGES
B10819,TRANDATE TAB 100MG 50S ,POISON
B10820,BRILINTA 90MG 60S,POISON
B10816,COVERAM 5/5MG 30S,POISON
A15020,3M MICROPORE WITH DISPENSER 1INCH ( 2.5CM ) 1S,REHAB & SUPPORT
A15021,11031 SENSURA 2P BP LIGHTCNV 5PCS,REHAB & SUPPORT
A15012,GKB LION'S MANE MUSHROOM (MAL) 60S,SUPPLEMENT
B10814,OZEMPIC 0.25MG&0.5MG PREFILLED PEN ,POISON
B10815,OZEMPIC 1MG PREFILLED PEN ,POISON
A14912,~ OPTIFY KIDS 60S,OTC
B10774,SUROTIN 10MG 10S,POISON
A14918,NOVA NOVAVIS BORAGE OIL BODY BALM 25G,SUPPLEMENT NOVA
A14897,ACEVIZ 600MG 1S (ACETYLCYSTEINE),OTC
A14907,GASTRORELIEF ANTACID TABLET  (BLACKCURRANT) 8'S,OTC
B10784,EXFORGE HCT 10/160/25MG 7S,POISON
A14915,~ GOAT MILK POWDER 400G,OTC
A14914,~ KIDS LIVE CULTURE (KLC) CHEWABLE TAB 60S MIX FLAVOUR,OTC
B10781,LOMIDE 2MG 10S CAPSULE,POISON
B10777,SUROTIN 20MG 10S,POISON
B10782,ALDARA CREAM 5% 1'S,POISON
A14898,ALLERSOL SYRUP 100ML,OTC
A14899,RESMERIC TABLET 20S,OTC
B10783,CO PLAVIX 75/100MG 14S,POISON
A14900,~ AL-ARD PREMIUM ORGANIC EXTRA VIRGIN OLIVE OIL 500ML,CONSIGNMENT DR HANISAH
A14902,VANZO FRAGRANCE ALCOHOL 35ML,OTC
A14903,HIMALAYA DARK SPOT TUMERIC FACE WASH 100ML ,PERSONAL CARE
A14904,HIMALAYA  HONEY GLOSS LIP BALM 10G,PERSONAL CARE
A14885,HURIX'S ANTIRASH CREAM FOR KIDS 13G,OTC
B10769,EXTEMENT 100MG 4S,POISON
B10772,VICIDE CREAM 5% 10GM,POISON
A14890,KETOSTERIL 20'S,POISON
A14892,DISCONTINUE,CONSIGNMENT DR HANISAH
A14869,DR. S. ORTHO MESH WRIST SPLINT ( FREE SIZE )WS-06,REHAB & SUPPORT
A14872,FEVER COOLING PATCH ADULT 1S,OTC
A14873,FEVER COOLING PATCH KIDS 1S,CONSIGNMENT
A14876,REMDII SCALP REPAIR SPRAY 30ML,PERSONAL CARE
B10768,NATRILIX SR TAB 10S,POISON
A14881,BM EXECUTIVE B 120'S,SUPPLEMENT
B10762,DAPIGA 10MG 10S,POISON
B10763,KOMBIGLYZE XR 5/1000MG 7S,POISON
A14855,FD DISPOSABLE FORCEP 3S  ( DF3 ),REHAB & SUPPORT
A14867,"VITAMIN D3 10,000IU 100'S",OTC
B10765,AXCEL VALACYCLOVIR 500MG 10S,POISON
B10853,STUGERON 25MG 25S,POISON
B10854,ASUMALIFE 1MG TAB 60S,POISON
A15130,RWC BED BUG & DUST MITE SPRAY 100ML,OTC
B10850,TENVIR EM TABLETS 30'S,POISON
B10851,ALCON PATANOL EYE DROP SOLUTION 5ML,POISON
B10852,APO-QUETIAPINE 100MG 100S,POISON
B10846,APO-QUETIAPINE 25MG 100S ,POISON
A15120,BIOGROW MAGNESIUM BISGLYCINATE 750MG 10S,SUPPLEMENT
B10836,BONVIVA 150MG 1S,POISON
B10839,NOVORAPID FLEXPEN 100U/ML PRE-FILLED PEN 3ML 1S,POISON
B10840,BASALOG ONE ( INSULIN GLARGINE ) SOLUTION FOR INJECTION 100IU/ML 1S,POISON
A15111,ELEFBEBE STANDARD NECK FEEDING BOTTLE NEW BORN 60ML/2OZ ( FB-N01 ),BABY & MOM
B10841,QTERN 5MG/10MG FILM-COATED TABLETS 28S,POISON
B10842,EPILIM 200MG 10S,POISON
B10844,NOVUGEN TADIGRA 5MG 10S,POISON
A15063,~ GOAT MILK POWDER (POUCH) 10S,CONSIGNMENT
B10826,DISCONTINUE,POISON
B10823,ELIDEL 1% CREAM 15G ,POISON
A15051,BIOGAIA DROPS WITH VITAMIN D 5ML,SUPPLEMENT
A15034,PIC CLASSIC UNIVERSAL PLASTER MIX 20S,WOUND & SURGICAL
A15035,PIC CLASSIC UNIVERSAL PLASTER MIX 40S,WOUND & SURGICAL
A15037,PIC CLASSIC UNIVERSAL PLASTER LARGE 25*72MM 10S,WOUND & SURGICAL
A15069,~EMPTY PRODUCT CONTAINER,CONSIGNMENT DR HANISAH
A15070,~ KASIH66 SACHA INCHI SERUM 120ML ,CONSIGNMENT
A15068,JOHNSON'S MILK + RICE BATH 200ML ,BABY & MOM
B10827,CREOBIC DOUBLE ACTION CREAM 5GM,POISON
A15072,~ KASIH66 MADU LEBAH FRASER HILL 350G,CONSIGNMENT
A15074,FLOSEAL 5ML ,SERVICE
B10833,AVOZINE 5MG 10S,POISON
B10830,GALVUS MET 50/1000MG 10S,POISON
A15079,AVEMED CRYO MIST SPRAY 100ML,OTC
A15080,AB-CYSCARE 15S,OTC
000027,COMPLETE WELLNESS FEMALE,OTC
000028,COMPLETE WELLNESS MALE,CONSIGNMENT
A15085,SMECTA GO SUSPENSION 3G 1S,OTC
A15144,ARTELAC SPLASH EYE DROP 0.5ML 1S,OTC
A15150,ELECTRIC TRANSFER HOIST,REHAB & SUPPORT
POINTS,POINTS,SERVICE
MEMBERSHIP,MEMBERSHIP,SERVICE
DEPOSIT,DEPOSIT,SERVICE
A11133,DISCONTINUE,OTC
A11134,DISCONTINUE,OTC
A11135,DISCONTINUE,OTC
A11137,DISCONTINUE,OTC
A11138,DISCONTINUE,OTC
A11139,~DOTERRA DEEP BLUE 5ML,CONSIGNMENT DR HANISAH
A11140,DISCONTINUE,OTC
A11145,DISCONTINUE,OTC
A11146,DISCONTINUE,OTC
A11147,DISCONTINUE,OTC
A11148,DISCONTINUE,OTC
A11142,DISCONTINUE,OTC
A11150,DISCONTINUE,OTC
A11160,~DOTERRA PETAL DIFFUSER,CONSIGNMENT DR HANISAH
A11161,~DOTERRA PROTECTING SHAMPOO 250ML,CONSIGNMENT DR HANISAH
A11162,DISCONTINUE,OTC
A11163,~DOTERRA ROSEMARY 15ML,CONSIGNMENT DR HANISAH
A11164,~DOTERRA SIBERIAN FIR 15ML,CONSIGNMENT DR HANISAH
A11165,DISCONTINUE,OTC
A11166,~DOTERRA TEA TREE 15ML,CONSIGNMENT DR HANISAH
A11167,DISCONTINUE,OTC
A11168,~DOTERRA TERRASHIELD 15ML,CONSIGNMENT DR HANISAH
A11169,~DOTERRA TURMERIC 15ML,CONSIGNMENT DR HANISAH
A11170,~DOTERRA WILD ORANGE 5ML,CONSIGNMENT DR HANISAH
A11153,~DOTERRA LEMONGRASS 15ML,CONSIGNMENT DR HANISAH
A11154,~DOTERRA LITSEA 15ML,CONSIGNMENT DR HANISAH
A11157,~DOTERRA OREGANO 15ML,CONSIGNMENT DR HANISAH
A11158,~DOTERRA PAST TENSE ROLL ON 10ML,CONSIGNMENT DR HANISAH
A11339,DISCONTINUE,OTC
A11336,DISCONTINUE,OTC
A11407,~ORGANICULE PUMPKIN SEEDS 400G,CONSIGNMENT DR HANISAH
MNM,MIX & MATCH,SERVICE
PWP,PURCHASE WITH PURCHASE,SERVICE
A11712,DISCONT,OTC
6,ZOLLIPOPS CLEAN TEETH POPS 5.2OZ,OTC
A11821,DISCONT,OTC
A11822,DISCONT ~SANNY & JOLEEN ALOE VERA CLEANSING CREAM 150ML,OTC
A11964,~DOTERRA USB AROMA DIFFUSER,CONSIGNMENT DR HANISAH
A12064,ALUMINIUM 2IN1 ROLLATOR MO-9102,REHAB & SUPPORT
A12072,ALUMINIUM 2IN1 ROLLATOR MO-9148L,REHAB & SUPPORT
A12132,DISCONTINUE,OTC
A12133,DISCONTINUE,OTC
A12134,DISCONTINUE,OTC
A12400,DISCONTINUE,OTC
A12496,~FUTURE FOOD MARJORAM 10ML,CONSIGNMENT DR HANISAH
A12503,~FUTURE FOOD STUDY TIME 10ML,CONSIGNMENT DR HANISAH
A12614,~FUTURE FOOD FENNEL ESSENTIAL OIL 10ML,CONSIGNMENT DR HANISAH
S00005,VOUCHER RM5,CONSIGNMENT
S00007,PWP ITEM,OTC
A12778,DISCONTINUE,OTC
A12918,DYNAMIC VARICOSE VEIN STOCKING XL,OTC
A12931,DISCONTINUE,OTC
P0001,DISCONTINUE,OTC
V10007-200,DISCONTINUE,OTC
V10018-REP,DISCONTINUE,OTC
V10022-60M,DISCONTINUE,OTC
V10045,RAYA KIT,OTC
V91,TEST,CONSIGNMENT
XY1,Variant Stock Item 1,CONSIGNMENT
VXY,Variant Parent,CONSIGNMENT
B10497,TAMIFLU SYRUP 15MG/ML 5 CAPSULES 25ML,POISON
A13406,DISCONTINUE,OTC
A13449,DISCONTINUE,OTC
V10004-SAC,DISCONTINUE,OTC
V10005-BOX,DISCONTINUE,OTC
SKU-A-A12660-UNIT-710,CLEARANCE SYSTANE BALANCE 10ML,CONSIGNMENT
SKU-A-A12660-UNIT-710-1,CLEARANCE SYSTANE BALANCE 10ML,CONSIGNMENT
000010,DISCONTINUE,POISON
A13723,~PURE MORINGA OIL 10ML,CONSIGNMENT DR HANISAH
PI0008,SYRUP COMPOUNDING,SERVICE
PI0009,CONSULTATION,POISON
A13744,DISCONTINUE,OTC
PI0010,BOTOL PUTIH REPACK,OTC
PI0011,BOTOL KACA REPACK,OTC
B10594,HOVID NEOMYCIN CREAM 15G,POISON
A13801,PLASTIC KIDNEY DISH,OTC
PI0014,DISCONTINUE,SERVICE
A13802,POVIDONE IODINE 1L,OTC
A13857,AMMEDA KNEE SUPPORT S/M/L/XL,REHAB & SUPPORT
A13858,AMMEDA ANKLE SUPPORT S/M/L/XL,REHAB & SUPPORT
A13859,FUTURO COMFORT KNEE SUPPORT S/M/L/XL,OTC
A13860,FUTURO COMFORT ANKLE SUPPORT S/M/L/XL,OTC
A13862,LP KNEE SUPPORT 707 S/M/L/XL,OTC
A13864,LP ANKLE SUPPORT 757 S/M/L/XL,OTC
PI0016,WHEELCHAIR TYRE REPLACEMENT,SERVICE
A13924,REUSABLE ICE PACK,OTC
PI0017,CLEARANCE,SERVICE
PI0018,HIV TEST,CONSIGNMENT
PI0019,DISCONTINUE,CONSIGNMENT
PI0020,SERVICE UBAT SUSULAN ,SERVICE
PI0021,DISCONTINUE,SERVICE
PI0022,DISCONTINUE,SERVICE
A13991,DISCONTINUE,OTC
A13994,DISCONTINUE,OTC
PI0023,SERVICES PHOTOCOPY B&W,SERVICE
PI0024,SERVICES PHOTOCOPY COLOUR,SERVICE
A14044,~ MINUMAN HALIA MADU 22G,CONSIGNMENT
A14063,~BEBIMORA LOTION 70ML,BABY & MOM
A14066,~BEBIMORA TRAVEL PACK,BABY & MOM
A14112,DISCONTINUE,OTC
A14113,DISCONTINUE,OTC
A14114,DISCONTINUE,OTC
A14115,DISCONTINUE,OTC
A14116,DISCONTINUE,OTC
A14117,DISCONTINUE,OTC
A14118,DISCONTINUE,OTC
A14120,DISCONTINUE,OTC
A14121,DISCONTINUE,OTC
A14134,DISCONTINUE,OTC
A14135,DISCONTINUE,OTC
A14136,DISCONTINUE,OTC
A14137,DISCONTINUE,OTC
A14138,DISCONTINUE,OTC
A14123,DISCONTINUE,CONSIGNMENT
A14124,DISCONTINUE,OTC
A14130,DISCONTINUE,CONSIGNMENT
A14131,DISCONTINUE,CONSIGNMENT
A14132,DISCONTINUE,CONSIGNMENT
A14142,DISCONTINUE,OTC
A14144,DISCONTINUE,CONSIGNMENT
A14145,DISCONTINUE,CONSIGNMENT
A14150,RENTAL TRAVEL WHEELCHAIR,SERVICE
A14151,RENTAL LIGHTWEIGHT WHEELCHAIR,SERVICE
A14152,RENTAL OXYGEN CONCENTRATOR 5L,SERVICE
A14153,RENTAL OXYGEN CONCENTRATOR 10L,SERVICE
A14154,RENTAL MANUAL HOSPITAL BED FIXED HEIGHT,SERVICE
A14155,RENTAL MANUAL HOSPITAL BED HILO,SERVICE
A14156,RENTAL ELECTRIC HOSPITAL BED FIXED HEIGHT,SERVICE
A14157,RENTAL ELECTRIC HOSPITAL BED HILO,SERVICE
A14158,RENTAL RIPPLE MATTRESS BUBBLE,SERVICE
A14159,RENTAL RIPPLE MATTRESS TUBULAR,SERVICE
A14160,OXYGEN REFILL 4.7L ,SERVICE
A14161,"OXYGEN TANK (TROLLEY, REGULATOR,NASAL CANULA)",SERVICE
A14126,DISCONTINUE,CONSIGNMENT
A14127,DISCONTINUE,CONSIGNMENT
A14128,DISCONTINUE,CONSIGNMENT
A14147,DISCONTINUE,CONSIGNMENT
000017,DISCONTINUE,CONSIGNMENT
A14182,~RR4UP 90'S,OTC
A14183,~KARDIMED 60'S ,OTC
A14196,~AZOMIS SKINCARE REJUVENATING SERUM 30ML,OTC
A14197,~AZOMIS SKINCARE REENERGIZING CLEANSING MOUSSE 50ML,OTC
A14198,~AZOMIS SKINCARE RADIANCE TONE UP CREAM 30ML,CONSIGNMENT
A14200,~AZOMIS REVIVING BRIGHT ADVANCED DARK SPOT CORRECTOR 15ML,CONSIGNMENT
000020,SET DEMAM,OTC
000021,DISCONTINUE,OTC
B10665,PLENDIL 5MG 15S,POISON
PI0026,TEST,OTC
PI0027,UMRAH KIT 1,OTC
PI0029,DIGESTION SUPPORT KIT,CONSIGNMENT
PI0039,KIT RAMADHAN ,SERVICE
A14422,~HEALTHY JOY SAMBAL BELACAN (230GM),SUPPLEMENT NOVA
A14423,~HEALTHY JOY JEM MENTEGA KACANG (240GM),SUPPLEMENT NOVA
A14430,~GAMARUB 100G,CONSIGNMENT
A14431,~GAMOGEN 500ML,CONSIGNMENT
A14432,~ZANIPLUS 350ML,CONSIGNMENT
A14420,~HEALTHY JOY JEM BLACKCURRANT (280GM),SUPPLEMENT NOVA
PI0042,HS GLUCODR GLUCOSE TEST,SERVICE
